Chamber,C.W,Site,Species,Community,Plot,Plant.ID,Unique.Random.ID.x,Number.of.Seeds,Seed.weight.mg,Seed.Agar.group,Jan22.Low,Jan25.Low,Jan28.Low,Jan31.Low,Feb1st,Percent_germ
HIGH,C,Alexandra Fiord,D. integrifolia,DRY,10,60,41,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,CASS,9,541,43,26,0.009,C2,0,1,3,4,4,0.153846154
HIGH,C,Alexandra Fiord,D. integrifolia,CASS,9,541,43,26,0.009,C2,0,0,1,4,4,0.153846154
LOW,C,Alexandra Fiord,D. integrifolia,DRY,2,10,52,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,DRY,2,10,52,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,CASS,8,535,54,25,0.008,C2,0,6,10,10,10,0.4
HIGH,C,Alexandra Fiord,D. integrifolia,CASS,8,535,54,25,0.008,C2,0,1,5,6,6,0.24
LOW,W,Alexandra Fiord,D. integrifolia,CASS,10,544,60,28,0.006,C2,0,1,2,2,2,0.071428571
HIGH,W,Alexandra Fiord,D. integrifolia,CASS,10,544,60,28,0.006,C2,0,0,0,0,0,0
LOW,W,Alexandra Fiord,D. integrifolia,WILL,1,403,67,25,0.009,C2,0,2,5,5,5,0.2
HIGH,W,Alexandra Fiord,D. integrifolia,WILL,1,403,67,25,0.009,C2,0,0,7,7,7,0.28
LOW,W,Alexandra Fiord,D. integrifolia,DRY,3,15,69,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,DRY,3,15,69,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,MEAD,2,450,70,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,MEAD,2,450,70,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,FERT,39,20F,71,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,FERT,39,20F,71,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,MEAD,2,451,76,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,MEAD,2,451,76,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,DRY,4,23,82,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,DRY,4,23,82,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,WILL,10,437,84,25,0.009,C2,0,2,3,4,4,0.16
HIGH,W,Alexandra Fiord,D. integrifolia,WILL,10,437,84,25,0.009,C2,0,0,1,1,1,0.04
LOW,C,Alexandra Fiord,D. integrifolia,DRY,5,28,92,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,DRY,5,28,92,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,MEAD,7,473,95,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,MEAD,7,473,95,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,FERT,5,1F,97,25,0.004,D2,0,0,1,1,1,0.04
HIGH,C,Alexandra Fiord,D. integrifolia,FERT,5,1F,97,25,0.004,D2,0,0,0,0,0,0
LOW,C,Alexandra Fiord,D. integrifolia,WILL,3,414,100,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,WILL,3,414,100,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,WILL,7,448,107,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,WILL,7,448,107,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,FERT,6,3F,110,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,FERT,6,3F,110,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,FERT,22,12F,111,25,0.006,D2,0,0,2,2,2,0.08
HIGH,W,Alexandra Fiord,D. integrifolia,FERT,22,12F,111,25,0.006,D2,0,0,1,2,2,0.08
LOW,C,Alexandra Fiord,D. integrifolia,FERT,13,7F,112,25,0.005,D2,0,0,0,0,0,0
HIGH,C,Alexandra Fiord,D. integrifolia,FERT,13,7F,112,25,0.005,D2,0,0,0,1,1,0.04
LOW,W,Alexandra Fiord,D. integrifolia,MEAD,1,444,116,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,MEAD,1,444,116,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,WILL,7,445,125,25,0.008,D2,0,4,8,8,8,0.32
HIGH,C,Alexandra Fiord,D. integrifolia,WILL,7,445,125,25,0.008,D2,0,1,7,7,7,0.28
LOW,W,Alexandra Fiord,D. integrifolia,FERT,14,6F,126,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,FERT,14,6F,126,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,CASS,9,539,128,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,CASS,9,539,128,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,CASS,5,525,130,27,0.003,D2,0,2,3,4,4,0.148148148
HIGH,W,Alexandra Fiord,D. integrifolia,CASS,5,525,130,27,0.003,D2,0,0,0,0,0,0
LOW,W,Alexandra Fiord,D. integrifolia,CASS,17,574,137,25,0.008,D2,0,4,4,5,5,0.2
HIGH,W,Alexandra Fiord,D. integrifolia,CASS,17,574,137,25,0.008,D2,0,1,5,6,6,0.24
LOW,C,Alexandra Fiord,D. integrifolia,CASS,10,548,144,25,0.007,D1,0,3,5,5,4,0.16
HIGH,C,Alexandra Fiord,D. integrifolia,CASS,10,548,144,25,0.007,D1,0,0,1,1,1,0.04
LOW,W,Alexandra Fiord,D. integrifolia,DRY,6,31,147,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,DRY,6,31,147,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,DRY,9,53,149,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,DRY,9,53,149,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,WILL,1,406,152,25,0.003,C3,0,0,0,0,0,0
HIGH,C,Alexandra Fiord,D. integrifolia,WILL,1,406,152,25,0.003,C3,0,0,0,0,0,0
LOW,W,Alexandra Fiord,D. integrifolia,WILL,5,421,154,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,WILL,5,421,154,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,DRY,8,45,155,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,DRY,8,45,155,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,CASS,5,529,159,,,,0,0,0,0,0,
HIGH,C,Alexandra Fiord,D. integrifolia,CASS,5,529,159,,,,0,0,0,0,0,
LOW,W,Alexandra Fiord,D. integrifolia,MEAD,6,466,163,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,MEAD,6,466,163,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,FERT,31,15F,170,28,0.007,C3,0,3,7,9,9,0.321428571
HIGH,C,Alexandra Fiord,D. integrifolia,FERT,31,15F,170,28,0.007,C3,0,1,3,6,6,0.214285714
LOW,W,Alexandra Fiord,D. integrifolia,MEAD,7,470,173,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,MEAD,7,470,173,,,,0,0,0,0,0,
LOW,C,Alexandra Fiord,D. integrifolia,CASS,17,576,175,25,0.005,C3,0,1,0,0,0,0
HIGH,C,Alexandra Fiord,D. integrifolia,CASS,17,576,175,25,0.005,C3,0,0,0,0,0,0
LOW,W,Alexandra Fiord,D. integrifolia,DRY,9,50,185,,,,0,0,0,0,0,
HIGH,W,Alexandra Fiord,D. integrifolia,DRY,9,50,185,,,,0,0,0,0,0,
LOW,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,outside,C12,187,25,0.013,C3,1,0,3,4,4,0.16
HIGH,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,outside,C12,187,25,0.013,C3,0,0,3,5,5,0.2
LOW,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC4,W7,188,27,0.001,C3,0,0,0,0,0,0
HIGH,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC4,W7,188,27,0.001,C3,0,0,0,0,0,0
LOW,W,Latnjajaure Field Station (LFS),D.octopetala,Carex,OTC5,W18,190,21,0.009,D1,0,2,2,2,2,0.095238095
HIGH,W,Latnjajaure Field Station (LFS),D.octopetala,Carex,OTC5,W18,190,21,0.009,D1,0,0,6,8,8,0.380952381
LOW,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl5,C5,191,25,0.010,C3,0,1,4,6,6,0.24
HIGH,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl5,C5,191,25,0.010,C3,0,0,1,2,3,0.12
LOW,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC2,W2,193,1,0.002,C4,0,0,0,0,0,
HIGH,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC2,W2,193,1,0.002,C4,0,0,0,0,0,
LOW,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl2,C18,194,25,0.010,D1,0,2,1,1,1,0.04
HIGH,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl2,C18,194,25,0.010,D1,0,0,0,0,0,0
LOW,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl4,C3,196,26,0.008,C4,0,0,0,0,0,0
HIGH,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl4,C3,196,26,0.008,C4,0,0,0,0,0,0
LOW,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl2,C6,198,25,0.011,C4,0,1,1,1,1,0.04
HIGH,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl2,C6,198,25,0.011,C4,0,3,4,4,5,0.2
LOW,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl5,C20,199,25,0.010,D2,0,0,0,3,3,0.12
HIGH,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl5,C20,199,25,0.010,D2,0,0,0,4,4,0.16
LOW,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl5,C2,201,25,0.003,C4,0,0,0,0,0,0
HIGH,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl5,C2,201,25,0.003,C4,0,0,0,0,0,0
LOW,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl2,C1,203,6,0.001,C4,0,0,0,0,0,0
HIGH,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl2,C1,203,6,0.001,C4,0,0,0,0,0,0
LOW,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC2,W5,206,4,0.001,C4,0,0,0,0,0,0
HIGH,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC2,W5,206,4,0.001,C4,0,0,0,0,0,0
LOW,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC4,W9,207,4,0.001,C5,0,0,0,0,0,0
HIGH,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC4,W9,207,4,0.001,C5,0,0,0,0,0,0
LOW,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl2,C7,209,25,0.009,C5,1,3,1,2,2,0.08
HIGH,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl2,C7,209,25,0.009,C5,0,0,0,1,1,0.04
LOW,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC4,W8,211,15,0.001,D2,0,0,0,0,0,0
HIGH,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC4,W8,211,15,0.001,D2,0,0,0,0,0,0
LOW,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC2,W4,212,0,,,0,0,0,0,0,
HIGH,W,Latnjajaure Field Station (LFS),D.octopetala,Dryas,OTC2,W4,212,0,,,0,0,0,0,0,
LOW,W,Latnjajaure Field Station (LFS),D.octopetala,Carex,OTC9,W11,216,25,0.001,C5,0,0,0,0,0,0
HIGH,W,Latnjajaure Field Station (LFS),D.octopetala,Carex,OTC9,W11,216,25,0.001,C5,0,0,0,0,0,0
LOW,W,Latnjajaure Field Station (LFS),D.octopetala,Carex,OTC1,W12,219,25,0.013,C5,0,2,3,3,3,0.12
HIGH,W,Latnjajaure Field Station (LFS),D.octopetala,Carex,OTC1,W12,219,25,0.013,C5,0,0,3,3,4,0.16
LOW,W,Latnjajaure Field Station (LFS),D.octopetala,Carex,OTC3,W16,220,25,0.004,C5,0,0,0,0,0,0
HIGH,W,Latnjajaure Field Station (LFS),D.octopetala,Carex,OTC3,W16,220,25,0.004,C5,0,0,0,0,0,0
LOW,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl1,C4,223,25,0.010,C5,0,0,2,2,2,0.08
HIGH,C,Latnjajaure Field Station (LFS),D.octopetala,Dryas,ctrl1,C4,223,25,0.010,C5,0,0,0,0,0,0
LOW,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C9,227,25,0.002,C7,0,0,0,0,0,0
HIGH,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C9,227,25,0.002,C7,0,0,0,0,0,0
LOW,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W5,228,0,,,0,0,0,0,0,
HIGH,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W5,228,0,,,0,0,0,0,0,
LOW,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C18,229,25,0.003,C6,0,0,0,0,0,0
HIGH,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C18,229,25,0.003,C6,0,1,0,0,0,0
LOW,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C17,231,25,0.002,C6,0,0,0,0,0,0
HIGH,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C17,231,25,0.002,C6,0,0,0,0,0,0
LOW,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W6,232,0,,,0,0,0,0,0,
HIGH,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W6,232,0,,,0,0,0,0,0,
LOW,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W17,235,25,0.003,C6,0,0,0,0,0,0
HIGH,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W17,235,25,0.003,C6,0,0,0,0,0,0
LOW,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W3,236,0,,,0,0,0,0,0,
HIGH,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W3,236,0,,,0,0,0,0,0,
LOW,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C5,238,26,0.005,C6,0,0,0,0,0,0
HIGH,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C5,238,26,0.005,C6,0,0,2,2,2,0.076923077
LOW,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W16,239,5,0.002,C6,0,0,0,0,0,0
HIGH,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W16,239,5,0.002,C6,0,0,0,0,0,0
LOW,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C4,240,21,0.004,C7,0,0,1,1,1,0.047619048
HIGH,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C4,240,21,0.004,C7,0,0,2,2,2,0.095238095
LOW,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W15,242,12,0.002,C7,0,0,0,0,0,0
HIGH,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W15,242,12,0.002,C7,0,0,1,0,0,0
LOW,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C10,246,28,0.006,C7,0,1,1,1,1,0.035714286
HIGH,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C10,246,28,0.006,C7,0,0,0,0,0,0
LOW,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W18,248,25,0.003,C7,0,0,0,0,0,0
HIGH,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W18,248,25,0.003,C7,0,0,0,0,0,0
LOW,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W14,249,0,,,0,0,0,0,0,
HIGH,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W14,249,0,,,0,0,0,0,0,
LOW,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C13,254,26,0.006,C7,0,0,0,0,0,0
HIGH,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C13,254,26,0.006,C7,0,0,0,0,1,0.038461538
LOW,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C12,256,11,0.004,C7,0,0,0,0,0,0
HIGH,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C12,256,11,0.004,C7,0,0,0,0,0,0
LOW,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C3,258,19,0.008,C6,0,0,0,0,0,0
HIGH,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C3,258,19,0.008,C6,0,0,2,2,2,0.105263158
LOW,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C19,261,25,0.003,C6,0,0,0,0,0,0
HIGH,C,"Toolik Lake, Alaska, USA",D.octopetala,,,C19,261,25,0.003,C6,0,0,0,0,0,0
LOW,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W7,263,10,0.001,C6,0,0,0,0,0,0
HIGH,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W7,263,10,0.001,C6,0,0,0,0,0,0
LOW,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W8,265,25,0.001,C6,0,0,0,0,0,0
HIGH,W,"Toolik Lake, Alaska, USA",D.octopetala,,,W8,265,25,0.001,C6,0,0,0,0,0,0
LOW,W,Svalbard,D.octopetala,,12,W12,267,,,,0,0,0,0,0,
HIGH,W,Svalbard,D.octopetala,,12,W12,267,,,,0,0,0,0,0,
LOW,C,Svalbard,D.octopetala,,6,C6,268,,,,0,0,0,0,0,
HIGH,C,Svalbard,D.octopetala,,6,C6,268,,,,0,0,0,0,0,
LOW,C,Svalbard,D.octopetala,,18,C18,269,,,,0,0,0,0,0,
HIGH,C,Svalbard,D.octopetala,,18,C18,269,,,,0,0,0,0,0,
LOW,W,Svalbard,D.octopetala,,49,W49,270,25,0.003,C6,0,0,0,0,0,0
HIGH,W,Svalbard,D.octopetala,,49,W49,270,25,0.003,C6,0,0,0,0,0,0
LOW,W,Svalbard,D.octopetala,,18,W18,271,,,,0,0,0,0,0,
HIGH,W,Svalbard,D.octopetala,,18,W18,271,,,,0,0,0,0,0,
LOW,W,Svalbard,D.octopetala,,8,W8,272,25,0.004,C7,0,0,0,0,0,0
HIGH,W,Svalbard,D.octopetala,,8,W8,272,25,0.004,C7,0,0,0,0,0,0
LOW,C,Svalbard,D.octopetala,,12,C12,273,,,,0,0,0,0,0,
HIGH,C,Svalbard,D.octopetala,,12,C12,273,,,,0,0,0,0,0,
LOW,W,Svalbard,D.octopetala,,6,W6,274,,,,0,0,0,0,0,
HIGH,W,Svalbard,D.octopetala,,6,W6,274,,,,0,0,0,0,0,
LOW,C,Svalbard,D.octopetala,,8,C8,275,,,,0,0,0,0,0,
HIGH,C,Svalbard,D.octopetala,,8,C8,275,,,,0,0,0,0,0,
LOW,C,Svalbard,D.octopetala,,16,C16,276,,,,0,0,0,0,0,
HIGH,C,Svalbard,D.octopetala,,16,C16,276,,,,0,0,0,0,0,
LOW,W,Svalbard,D.octopetala,,16,W16,277,,,,0,0,0,0,0,
HIGH,W,Svalbard,D.octopetala,,16,W16,277,,,,0,0,0,0,0,
LOW,C,Svalbard,D.octopetala,,49,C49,278,11,0.001,C7,0,0,0,0,0,0
HIGH,C,Svalbard,D.octopetala,,49,C49,278,11,0.001,C7,0,0,0,0,0,0
