Unique Random ID,Species,Site,Community,Plot,C/W/G,Plant ID,Leaf collection DOY,Phenology,Collector
64,D. integrifolia,Alexandra Fiord,CASS,1,C,N2,224,N,Cassandra
65,D. integrifolia,Alexandra Fiord,CASS,2,C,N4,224,N,Cassandra
66,D. integrifolia,Alexandra Fiord,WILL,1,C,1R,224,Y,Cassandra
67,D. integrifolia,Alexandra Fiord,WILL,1,W,403,224,Longterm,Cassandra
68,D. integrifolia,Alexandra Fiord,CASS,4,C,5R,224,Y,Cassandra
69,D. integrifolia,Alexandra Fiord,DRY,3,W,15,224,Y,Cassandra
70,D. integrifolia,Alexandra Fiord,MEAD,2,W,450,224,Longterm,Cassandra
71,D. integrifolia,Alexandra Fiord,FERT,39,C,20F,224,Y,Cassandra
72,D. integrifolia,Alexandra Fiord,CASS,8,W,N11,224,N,Cassandra
73,D. integrifolia,Alexandra Fiord,CASS,2,W,N3,224,N,Cassandra
74,D. integrifolia,Alexandra Fiord,CASS,11,C,N17,224,N,Cassandra
75,D. integrifolia,Alexandra Fiord,DRY,3,C,N4,224,N,Cassandra
76,D. integrifolia,Alexandra Fiord,MEAD,2,C,451,224,Longterm,Cassandra
77,D. integrifolia,Alexandra Fiord,WILL,6,C,5R,224,Y,Cassandra
78,D. integrifolia,Alexandra Fiord,CASS,16,W,N28,224,N,Cassandra
79,D. integrifolia,Alexandra Fiord,CASS,12,W,555,224,Longterm,Cassandra
80,D. integrifolia,Alexandra Fiord,MIGR,24,C,11,225,N,Cassandra
81,D. integrifolia,Alexandra Fiord,WILL,8,W,6R,224,Y,Cassandra
82,D. integrifolia,Alexandra Fiord,DRY,4,C,23,224,Y,Cassandra
83,D. integrifolia,Alexandra Fiord,DRY,6,C,N9,224,N,Cassandra
84,D. integrifolia,Alexandra Fiord,WILL,10,W,437,224,Longterm,Cassandra
85,D. integrifolia,Alexandra Fiord,MIGR,19,W,8,225,N,Cassandra
86,D. integrifolia,Alexandra Fiord,DRY,1,W,1,224,Y,Cassandra
87,D. integrifolia,Alexandra Fiord,DRY,6,C,N10,224,N,Cassandra
88,D. integrifolia,Alexandra Fiord,WILL,6,C,429,224,Longterm,Cassandra
89,D. integrifolia,Alexandra Fiord,CASS,2,C,4R,224,Y,Cassandra
90,D. integrifolia,Alexandra Fiord,WILL,2,C,412,224,Longterm,Cassandra
91,D. integrifolia,Alexandra Fiord,CASS,12,C,558,224,Longterm,Cassandra
92,D. integrifolia,Alexandra Fiord,DRY,5,C,28,224,Y,Cassandra
93,D. integrifolia,Alexandra Fiord,WILL,10,W,8R,224,Y,Cassandra
94,D. integrifolia,Alexandra Fiord,WILL,1,W,401,224,Longterm,Cassandra
95,D. integrifolia,Alexandra Fiord,MEAD,7,C,473,224,Longterm,Cassandra
96,D. integrifolia,Alexandra Fiord,DRY,3,C,18,224,Y,Cassandra
97,D. integrifolia,Alexandra Fiord,FERT,5,C,1F,224,Y,Cassandra
98,D. integrifolia,Alexandra Fiord,CASS,18,W,24R,224,Y,Cassandra
99,D. integrifolia,Alexandra Fiord,DRY,9,W,N15,224,N,Cassandra
100,D. integrifolia,Alexandra Fiord,WILL,3,C,414,224,Longterm,Cassandra
101,D. integrifolia,Alexandra Fiord,FERT,16,W,N3,224,N,Cassandra
102,D. integrifolia,Alexandra Fiord,CASS,15,W,19R,224,Y,Cassandra
103,D. integrifolia,Alexandra Fiord,DRY,5,W,N8,224,N,Cassandra
104,D. integrifolia,Alexandra Fiord,FERT,7,C,4F,224,Y,Cassandra
105,D. integrifolia,Alexandra Fiord,MIGR,6,C,5,225,N,Cassandra
106,D. integrifolia,Alexandra Fiord,CASS,16,C,572,224,Longterm,Cassandra
107,D. integrifolia,Alexandra Fiord,WILL,7,W,448,224,Longterm,Cassandra
108,D. integrifolia,Alexandra Fiord,WILL,9,C,7R,224,Y,Cassandra
109,D. integrifolia,Alexandra Fiord,DRY,1,C,6R,224,Y,Cassandra
110,D. integrifolia,Alexandra Fiord,FERT,6,W,3F,224,Y,Cassandra
111,D. integrifolia,Alexandra Fiord,FERT,22,W,12F,224,Y,Cassandra
112,D. integrifolia,Alexandra Fiord,FERT,13,C,7F,224,Y,Cassandra
113,D. integrifolia,Alexandra Fiord,CASS,1,C,506,224,Longterm,Cassandra
114,D. integrifolia,Alexandra Fiord,DRY,7,W,N12,224,N,Cassandra
115,D. integrifolia,Alexandra Fiord,DRY,8,C,47,224,Y,Cassandra
116,D. integrifolia,Alexandra Fiord,MEAD,1,W,444,224,Longterm,Cassandra
117,D. integrifolia,Alexandra Fiord,WILL,4,W,4R,224,Y,Cassandra
118,D. integrifolia,Alexandra Fiord,CASS,8,C,534,224,Longterm,Cassandra
119,D. integrifolia,Alexandra Fiord,CASS,2,W,2R,224,Y,Cassandra
120,D. integrifolia,Alexandra Fiord,MIGR,21,C,9,225,N,Cassandra
121,D. integrifolia,Alexandra Fiord,WILL,7,C,444,224,Longterm,Cassandra
122,D. integrifolia,Alexandra Fiord,WILL,10,C,441,224,Longterm,Cassandra
123,D. integrifolia,Alexandra Fiord,DRY,2,W,7,224,Y,Cassandra
124,D. integrifolia,Alexandra Fiord,CASS,18,W,25R,224,Y,Cassandra
125,D. integrifolia,Alexandra Fiord,WILL,7,C,445,224,Longterm,Cassandra
126,D. integrifolia,Alexandra Fiord,FERT,14,W,6F,224,Y,Cassandra
127,D. integrifolia,Alexandra Fiord,WILL,6,W,425,224,Longterm,Cassandra
128,D. integrifolia,Alexandra Fiord,CASS,9,W,539,224,Longterm,Cassandra
129,D. integrifolia,Alexandra Fiord,CASS,13,C,594,224,Longterm,Cassandra
130,D. integrifolia,Alexandra Fiord,CASS,5,W,525,224,Longterm,Cassandra
131,D. integrifolia,Alexandra Fiord,MEAD,3,W,455,224,Longterm,Cassandra
132,D. integrifolia,Alexandra Fiord,WILL,8,C,436,224,Longterm,Cassandra
133,D. integrifolia,Alexandra Fiord,FERT,40,W,N5,224,N,Cassandra
134,D. integrifolia,Alexandra Fiord,MEAD,9,W,6R,224,Y,Cassandra
135,D. integrifolia,Alexandra Fiord,CASS,18,C,N30,224,N,Cassandra
136,D. integrifolia,Alexandra Fiord,CASS,6,W,9R,224,Y,Cassandra
137,D. integrifolia,Alexandra Fiord,CASS,17,W,574,224,Longterm,Cassandra
138,D. integrifolia,Alexandra Fiord,CASS,16,C,N27,224,N,Cassandra
139,D. integrifolia,Alexandra Fiord,DRY,5,W,N7,224,N,Cassandra
140,D. integrifolia,Alexandra Fiord,WILL,2,W,T2-3,224,Y,Cassandra
141,D. integrifolia,Alexandra Fiord,DRY,6,W,N11,224,N,Cassandra
142,D. integrifolia,Alexandra Fiord,MEAD,5,W,3R,224,Y,Cassandra
143,D. integrifolia,Alexandra Fiord,CASS,13,W,17R,224,Y,Cassandra
144,D. integrifolia,Alexandra Fiord,CASS,10,C,548,224,Longterm,Cassandra
145,D. integrifolia,Alexandra Fiord,WILL,3,C,415,224,Longterm,Cassandra
146,D. integrifolia,Alexandra Fiord,DRY,7,W,38,224,Y,Cassandra
147,D. integrifolia,Alexandra Fiord,DRY,6,W,31,224,Y,Cassandra
148,D. integrifolia,Alexandra Fiord,CASS,5,W,N6,224,N,Cassandra
149,D. integrifolia,Alexandra Fiord,DRY,9,C,53,224,Y,Cassandra
150,D. integrifolia,Alexandra Fiord,FERT,15,C,N2,224,N,Cassandra
151,D. integrifolia,Alexandra Fiord,MIGR,4,C,3,225,N,Cassandra
152,D. integrifolia,Alexandra Fiord,WILL,1,C,406,224,Longterm,Cassandra
153,D. integrifolia,Alexandra Fiord,DRY,2,W,N3,224,N,Cassandra
154,D. integrifolia,Alexandra Fiord,WILL,5,W,421,224,Longterm,Cassandra
155,D. integrifolia,Alexandra Fiord,DRY,8,W,45,224,Y,Cassandra
156,D. integrifolia,Alexandra Fiord,CASS,15,W,N26,224,N,Cassandra
157,D. integrifolia,Alexandra Fiord,FERT,23,C,13F,224,Y,Cassandra
158,D. integrifolia,Alexandra Fiord,CASS,16,W,20R,224,Y,Cassandra
159,D. integrifolia,Alexandra Fiord,CASS,5,C,529,224,Longterm,Cassandra
160,D. integrifolia,Alexandra Fiord,DRY,1,C,N1,224,N,Cassandra
161,D. integrifolia,Alexandra Fiord,DRY,4,C,N5,224,N,Cassandra
162,D. integrifolia,Alexandra Fiord,WILL,3,W,2R,224,Y,Cassandra
163,D. integrifolia,Alexandra Fiord,MEAD,6,W,466,224,Longterm,Cassandra
164,D. integrifolia,Alexandra Fiord,CASS,9,W,N14,224,N,Cassandra
165,D. integrifolia,Alexandra Fiord,CASS,11,W,16R,224,Y,Cassandra
166,D. integrifolia,Alexandra Fiord,CASS,6,C,N7,224,N,Cassandra
167,D. integrifolia,Alexandra Fiord,CASS,15,C,N24,224,N,Cassandra
168,D. integrifolia,Alexandra Fiord,DRY,9,C,N14,224,N,Cassandra
169,D. integrifolia,Alexandra Fiord,CASS,17,W,22R,224,Y,Cassandra
170,D. integrifolia,Alexandra Fiord,FERT,31,C,15F,224,Y,Cassandra
171,D. integrifolia,Alexandra Fiord,DRY,8,W,43,224,Y,Cassandra
172,D. integrifolia,Alexandra Fiord,DRY,3,W,13,224,Y,Cassandra
173,D. integrifolia,Alexandra Fiord,MEAD,7,W,470,224,Longterm,Cassandra
174,D. integrifolia,Alexandra Fiord,CASS,13,W,N21,224,N,Cassandra
175,D. integrifolia,Alexandra Fiord,CASS,17,C,576,224,Longterm,Cassandra
176,D. integrifolia,Alexandra Fiord,CASS,18,C,N31,224,N,Cassandra
177,D. integrifolia,Alexandra Fiord,WILL,5,C,423,224,Longterm,Cassandra
178,D. integrifolia,Alexandra Fiord,CASS,12,C,559,224,Longterm,Cassandra
179,D. integrifolia,Alexandra Fiord,MEAD,8,C,5R,224,Y,Cassandra
180,D. integrifolia,Alexandra Fiord,WILL,7,W,447,224,Longterm,Cassandra
181,D. integrifolia,Alexandra Fiord,CASS,12,W,N19,224,N,Cassandra
182,D. integrifolia,Alexandra Fiord,MEAD,4,W,2R,224,Y,Cassandra
183,D. integrifolia,Alexandra Fiord,CASS,10,C,N15,224,N,Cassandra
184,D. integrifolia,Alexandra Fiord,CASS,7,W,N10,224,N,Cassandra
185,D. integrifolia,Alexandra Fiord,DRY,9,W,50,224,Y,Cassandra
186,D. integrifolia,Alexandra Fiord,CASS,8,W,N12,224,N,Cassandra
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
