ID,TotalMeth,Treat,SubSite,Plot,Plant,NA,Site
C_CASS_8C_535_54,503.327901,C,CASS,8C,535,54,Alex
C_ALAS_0C_10_246,171.802079,C,ALAS,0C,10,246,ALAS
C_DRY_9C_53_149,4155.8883,C,DRY,9C,53,149,Alex
C_CASS_09C_00_541,0,C,CASS,09C,00,541,Alex
C_MEAD_7C_473_95,4742.785965,C,MEAD,7C,473,95,Alex
C_MEAD_03C_1R0_00,4881.66371,C,MEAD,03C,1R0,00,Alex
C_MEAD_2C_451_76,609.95405,C,MEAD,2C,451,76,Alex
C_ALAS_0C_13_254,140.225917,C,ALAS,0C,13,254,ALAS
C_LATD_5C_2_201,1953.77593,C,LATD,5C,2,201,LATJ
C_LATD_2C_7_209,84.802697,C,LATD,2C,7,209,LATJ
C_WILL_7C_445_125,5273.70244,C,WILL,7C,445,125,Alex
C_LATJ_00C_00_187,5363.52093,C,LATJ,00C,00,187,LATJ
C_MEAD_1C_446_33,307.171459,C,MEAD,1C,446,33,Alex
C_ALAS_0C_18_229,5657.19088,C,ALAS,0C,18,229,ALAS
C_DRY_5C_28_92,1771.27791,C,DRY,5C,28,92,Alex
C_DRY_2C_10_52,1726.07592,C,DRY,2C,10,52,Alex
C_LATD_2C_6_198,1970.588295,C,LATD,2C,6,198,LATJ
C_LATD_1C_4_223,3352.55776,C,LATD,1C,4,223,LATJ
C_SVAL_0C_00_268,5208.00178,C,SVAL,0C,00,268,SVAL
C_SVAL_0C_00_269,3810.20976,C,SVAL,0C,00,269,SVAL
C_WILL_10C_440_16,165.396826,C,WILL,10C,440,16,Alex
C_LATD_2C_1_203,28.766789,C,LATD,2C,1,203,LATJ
C_LATD_5C_5_191,2220.8688,C,LATD,5C,5,191,LATJ
C_SVAL_12C_12_273,5347.979801,C,SVAL,12C,12,273,SVAL
C_FERT_13C_7F_112,5019.36491,C,FERT,13C,7F,112,Alex
C_LATJ_02C_00_194,22.22222,C,LATJ,02C,00,194,LATJ
C_ALAS_0C_19_261,3922.91218,C,ALAS,0C,19,261,ALAS
C_CASS_17C_576_175,5220.46136,C,CASS,17C,576,175,Alex
C_DRY_10C_60_41,66.955634,C,DRY,10C,60,41,Alex
C_MEAD_6C_468_22,4868.89243,C,MEAD,6C,468,22,Alex
C_WILL_3C_414_100,239.749506,C,WILL,3C,414,100,Alex
C_SVAL_49C_49_278,27.840909,C,SVAL,49C,49,278,SVAL
C_FERT_31C_15F_170,154.329301,C,FERT,31C,15F,170,Alex
C_ALAS_0C_00_231,2131.85327,C,ALAS,0C,00,231,ALAS
C_SVAL_8C_8_275,2018.91551,C,SVAL,8C,8,275,SVAL
C_ALAS_0C_5_238,938.052006,C,ALAS,0C,5,238,ALAS
C_ALAS_0C_12_256,0,C,ALAS,0C,12,256,ALAS
C_LATD_4C_3_196,958.252601,C,LATD,4C,3,196,LATJ
C_ALAS_0C_4_240,141.785716,C,ALAS,0C,4,240,ALAS
C_CASS_5C_529_159,2514.37439,C,CASS,5C,529,159,Alex
C_DRY_4C_23_82,0,C,DRY,4C,23,82,Alex
C_LATD_5C_20_199,4248.58722,C,LATD,5C,20,199,LATJ
C_WILL_1C_406_152,2949.57169,C,WILL,1C,406,152,Alex
C_ALAS_0C_3_258,2917.2217,C,ALAS,0C,3,258,ALAS
