Site.x	Tag	Unique.Random.ID	File	Total.Reads	Aligned.Reads	Unaligned.Reads	Ambiguously.Aligned.Reads	No.Genomic.Sequence	Duplicate.Reads..removed.	Unique.Reads..remaining.	Total.Cs	Methylated.CpGs	Unmethylated.CpGs	Methylated.chgs	Unmethylated.chgs	Methylated.CHHs	Unmethylated.CHHs	Species.x	Site.x.x	Community.x	Plot.x	C.W.G.x	Plant.ID.x	Leaf.collection.DOY.x	Phenology.x	Collector.x	mix	Species.y	Site.y	Plot.y	C.T.x	Plant.ID.y	Date	FLWR.PHENO.Flwr.Bud	FLWR.PHENO.Flwr.Mat	FLWR.PHENO.Flwr.Sen.	FLWR.PHENO.Cap.twist	FLWR.PHENO.Seed.Disp	FLWR.PHE.Aborted	Eaten	Height	PHENO	Flwr_total	Community.y	C.W.G.y	Plot.x.x	Plant.ID.x.x	Phenology.2018	X..Cap.Twist.2019	Collect.	Tag.nearby	X2019.Collection.Count	Collection.2019	Weight.x	Photo.time	Photo.DOY	DOY.Lv.collected	Lf.hairs	Aphids	Crystals.on.lv	DOY.Seed...Lv.Collected.2019	Plate.x	Location.x	Comments.x	Petri.Dish.ID.	C.T.y	Plant.ID.y.y	Species.x.x	Site.y.y	Plot.y.y	X..seeds..50.seeds.	X..seeds.Petri.dish.in.lab	ungerminated.seed.count.GD33	total.germinated.seeds	Seeds.Collection.DOY	Phenology.y	X..seeds..all.seeds.	weight.all.seeds..g.mg.	X..extra.seed	weight.extra.seeds..g.mg.	weight.50.seeds..mg.	Extra.seeds..Y.N.	Processor	Comments.y	Unique.non.random.ID	X..Dryas.flwrs	Dryas.seed.Ripeness	Notes	Chamber	C.W	Site.x.x.x	Species.y.y	Community.x.x	Plot.x.x.x	Plant.ID.x.x.x	Unique.Random.ID.x	Number.of.Seeds	Seed.weight.mg	Seed.Agar.group	Jan22.Low	Jan25.Low	Jan28.Low	Jan31.Low	Feb1st	Percent_germ	Plate.y	Location.y	Numb.Lv	Weight.y	DNA.extraction.comments	Hair.on.leaves	Petioles	Observer	Unique.Random.ID.1	Species	Site.y.y.y	Community.y.y	Plot.y.y.y	C.W.G	Plant.ID.y.y.y	Leaf.collection.DOY.y	Phenology	Collector.y	Latitude	Longitude	Comments
CASS10C	548	144	C1.C09.C1d11_CASS10C_548_144_R1_val_1_bismark_bt2_pe.bam	53452449	37179479	7367375	8905411	184	5614184	31565295	1040168851	36732583	70508888	21360898	123029298	20622422	767914762	D. integrifolia	Alexandra Fiord	CASS	10	C	548	224	Longterm	Cassandra	CASS_10_C_548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CASS	C	10	548	Longterm	4	Y		6	Y	0.03	11:17	208	208	6	NA	1	NA	1 and 2	d11	Only 5 leaves sampled.	Dr144	C	548	Dryas	CASS	10	0	0	NA	NA	224	Y	0	0	0	0	0	N	Hailey		36	2	1		LOW	C	Alexandra Fiord	D. integrifolia	CASS	10	548	144	25	0.007	D1	0	3	5	5	4	0.16	1 and 2	d11	6	16.4-4.2	2-hairy	2	S	Cassandra	144	D. integrifolia	Alexandra Fiord	CASS	10	C	548	224	Longterm	Cassandra			
CASS10C	548	144	C1.C09.C1d11_CASS10C_548_144_R1_val_1_bismark_bt2_pe.bam	53452449	37179479	7367375	8905411	184	5614184	31565295	1040168851	36732583	70508888	21360898	123029298	20622422	767914762	D. integrifolia	Alexandra Fiord	CASS	10	C	548	224	Longterm	Cassandra	CASS_10_C_548	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CASS	C	10	548	Longterm	4	Y		6	Y	0.03	11:17	208	208	6	NA	1	NA	1 and 2	d11	Only 5 leaves sampled.	Dr144	C	548	Dryas	CASS	10	0	0	NA	NA	224	Y	0	0	0	0	0	N	Hailey		36	2	1		HIGH	C	Alexandra Fiord	D. integrifolia	CASS	10	548	144	25	0.007	D1	0	0	1	1	1	0.04	1 and 2	d11	6	16.4-4.2	2-hairy	2	S	Cassandra	144	D. integrifolia	Alexandra Fiord	CASS	10	C	548	224	Longterm	Cassandra			
FERT31C	15F	170	C1.C10.C1f12_FERT31C_15F_170_R1_val_1_bismark_bt2_pe.bam	53722275	37477353	7438073	8806626	223	5646290	31831063	1078357063	36180270	78827167	22843027	126751846	30178123	783576630	D. integrifolia	Alexandra Fiord	FERT	31	C	15F	224	Y	Cassandra	FERT_31_C_15F	Dryas	FERT	31	C	15F	219	NA	NA	8	1	NA	NA	NA	56	Cap	9	FERT	C	31	15F	Y	4	Y	y	3	Y	0.03	12:23	209	208	8	NA	NA	NA	1 and 2	f12		Dr170	C	15F	Dryas	FERT	31	50	50	NA	0	224	Y	50	8.15	NA	3.63	4.52	Y	Zoe		120	2	2		LOW	C	Alexandra Fiord	D. integrifolia	FERT	31	15F	170	28	0.007	C3	0	3	7	9	9	0.321428571	1 and 2	f12	6	15.9-4.2		1	S	Cassandra	170	D. integrifolia	Alexandra Fiord	FERT	31	C	15F	224	Y	Cassandra			
FERT31C	15F	170	C1.C10.C1f12_FERT31C_15F_170_R1_val_1_bismark_bt2_pe.bam	53722275	37477353	7438073	8806626	223	5646290	31831063	1078357063	36180270	78827167	22843027	126751846	30178123	783576630	D. integrifolia	Alexandra Fiord	FERT	31	C	15F	224	Y	Cassandra	FERT_31_C_15F	Dryas	FERT	31	C	15F	219	NA	NA	8	1	NA	NA	NA	56	Cap	9	FERT	C	31	15F	Y	4	Y	y	3	Y	0.03	12:23	209	208	8	NA	NA	NA	1 and 2	f12		Dr170	C	15F	Dryas	FERT	31	50	50	NA	0	224	Y	50	8.15	NA	3.63	4.52	Y	Zoe		120	2	2		HIGH	C	Alexandra Fiord	D. integrifolia	FERT	31	15F	170	28	0.007	C3	0	1	3	6	6	0.214285714	1 and 2	f12	6	15.9-4.2		1	S	Cassandra	170	D. integrifolia	Alexandra Fiord	FERT	31	C	15F	224	Y	Cassandra			
WILL10C	440	16	C1.D05.C1a2_WILL10C_440_16_R1_val_1_bismark_bt2_pe.bam	62471119	43626564	9503074	9341284	197	7569803	36056761	1250368907	42903807	86949562	23535127	150281526	22038321	924660564	D. integrifolia	Alexandra Fiord	WILL	10	C	440	224	Longterm	Cassandra	WILL_10_C_440	Dryas	WILL	10	C	440	219	NA	NA	7	NA	NA	NA	NA	38	Sen	7	WILL	C	10	440	Longterm	6	Y		10		0.05	3:36	209	208	5	NA	NA	NA	1 and 2	a2		Dr016	C	440	Dryas	WILL	10	50	50	50	0	224	Y	50	9.25	NA	4.31	4.94	Y	Andrew		173	2	2		LOW	C	Alexandra Fiord	D. integrifolia	WILL	10	440	16	NA	NA		0	0	0	0	0	NA	1 and 2	a2	6	11.2		1	S		16	D. integrifolia	Alexandra Fiord	WILL	10	C	440	224	Longterm	Cassandra			
WILL10C	440	16	C1.D05.C1a2_WILL10C_440_16_R1_val_1_bismark_bt2_pe.bam	62471119	43626564	9503074	9341284	197	7569803	36056761	1250368907	42903807	86949562	23535127	150281526	22038321	924660564	D. integrifolia	Alexandra Fiord	WILL	10	C	440	224	Longterm	Cassandra	WILL_10_C_440	Dryas	WILL	10	C	440	219	NA	NA	7	NA	NA	NA	NA	38	Sen	7	WILL	C	10	440	Longterm	6	Y		10		0.05	3:36	209	208	5	NA	NA	NA	1 and 2	a2		Dr016	C	440	Dryas	WILL	10	50	50	50	0	224	Y	50	9.25	NA	4.31	4.94	Y	Andrew		173	2	2		HIGH	C	Alexandra Fiord	D. integrifolia	WILL	10	440	16	NA	NA		0	0	0	0	0	NA	1 and 2	a2	6	11.2		1	S		16	D. integrifolia	Alexandra Fiord	WILL	10	C	440	224	Longterm	Cassandra			
DRY2C	10	52	C1.D06.C1h4_DRY2C_10_52_R1_val_1_bismark_bt2_pe.bam	55889191	36710123	10881980	8296856	232	5211660	31498463	1075682845	37854817	72672121	21451860	127859533	21445537	794398977	D. integrifolia	Alexandra Fiord	DRY	2	C	10	224	Y	Cassandra	DRY_2_C_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DRY	C	2	10	Longterm	0	N	11	NA		0.02	11:07	209	208	2	1	NA	NA	1 and 2	h4		Dr052	C	10	Dryas	DRY	2	50	50	46	0	224	Y	50	7.52	NA	4.62	2.9	Y	Andrew		75	2	2		LOW	C	Alexandra Fiord	D. integrifolia	DRY	2	10	52	NA	NA		0	0	0	0	0	NA	1 and 2	h4	5	10		1	S	Chris	52	D. integrifolia	Alexandra Fiord	DRY	2	C	10	224	Longterm	Cassandra			
DRY2C	10	52	C1.D06.C1h4_DRY2C_10_52_R1_val_1_bismark_bt2_pe.bam	55889191	36710123	10881980	8296856	232	5211660	31498463	1075682845	37854817	72672121	21451860	127859533	21445537	794398977	D. integrifolia	Alexandra Fiord	DRY	2	C	10	224	Y	Cassandra	DRY_2_C_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DRY	C	2	10	Longterm	0	N	11	NA		0.02	11:07	209	208	2	1	NA	NA	1 and 2	h4		Dr052	C	10	Dryas	DRY	2	50	50	46	0	224	Y	50	7.52	NA	4.62	2.9	Y	Andrew		75	2	2		HIGH	C	Alexandra Fiord	D. integrifolia	DRY	2	10	52	NA	NA		0	0	0	0	0	NA	1 and 2	h4	5	10		1	S	Chris	52	D. integrifolia	Alexandra Fiord	DRY	2	C	10	224	Longterm	Cassandra			
DRY4C	23	82	C1.D07.C1f6_DRY4C_23_82_R1_val_1_bismark_bt2_pe.bam	53302775	37258621	7365005	8678923	226	5317214	31941407	1080710364	37805603	72865804	20440776	129425931	19924400	800247850	D. integrifolia	Alexandra Fiord	DRY	4	C	23	224	Y	Cassandra	DRY_4_C_23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DRY	C	4	23	Longterm	30	Y	22	1		0.02	11:19	209	208	1	NA	1	NA	1 and 2	f6		Dr082	C	23	Dryas	DRY	4	50	50	50	0	224	Y	50	9.27	NA	5.32	3.95	Y	Andrew		84	2	2		LOW	C	Alexandra Fiord	D. integrifolia	DRY	4	23	82	NA	NA		0	0	0	0	0	NA	1 and 2	f6	7	13.8-2.4		1	S	Cassandra	82	D. integrifolia	Alexandra Fiord	DRY	4	C	23	224	Longterm	Cassandra			
DRY4C	23	82	C1.D07.C1f6_DRY4C_23_82_R1_val_1_bismark_bt2_pe.bam	53302775	37258621	7365005	8678923	226	5317214	31941407	1080710364	37805603	72865804	20440776	129425931	19924400	800247850	D. integrifolia	Alexandra Fiord	DRY	4	C	23	224	Y	Cassandra	DRY_4_C_23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DRY	C	4	23	Longterm	30	Y	22	1		0.02	11:19	209	208	1	NA	1	NA	1 and 2	f6		Dr082	C	23	Dryas	DRY	4	50	50	50	0	224	Y	50	9.27	NA	5.32	3.95	Y	Andrew		84	2	2		HIGH	C	Alexandra Fiord	D. integrifolia	DRY	4	23	82	NA	NA		0	0	0	0	0	NA	1 and 2	f6	7	13.8-2.4		1	S	Cassandra	82	D. integrifolia	Alexandra Fiord	DRY	4	C	23	224	Longterm	Cassandra			
FERT13C	7F	112	C1.D08.C1h8_FERT13C_7F_112_R1_val_1_bismark_bt2_pe.bam	80202895	55677600	12305282	12219685	328	9932326	45745274	1610371602	57742786	106036147	32890644	190601810	34886323	1188213892	D. integrifolia	Alexandra Fiord	FERT	13	C	7F	224	Y	Cassandra	FERT_13_C_7F	Dryas	FERT	13	C	7F	219	NA	NA	NA	9	NA	NA	NA	74		9	FERT	C	13	7F	Y	3	Y	y	2	Y	0.02	12:05	209	208	0	NA	NA	NA	1 and 2	h8		Dr112	C	7F	Dryas	FERT	13	50	50	50	0	224	Y	50	18.14	NA	13.78	4.36	Y	Andrew		111	3	3		LOW	C	Alexandra Fiord	D. integrifolia	FERT	13	7F	112	25	0.005	D2	0	0	0	0	0	0	1 and 2	h8	7	=14-2.4		1	S	Cassandra	112	D. integrifolia	Alexandra Fiord	FERT	13	C	7F	224	Y	Cassandra			
FERT13C	7F	112	C1.D08.C1h8_FERT13C_7F_112_R1_val_1_bismark_bt2_pe.bam	80202895	55677600	12305282	12219685	328	9932326	45745274	1610371602	57742786	106036147	32890644	190601810	34886323	1188213892	D. integrifolia	Alexandra Fiord	FERT	13	C	7F	224	Y	Cassandra	FERT_13_C_7F	Dryas	FERT	13	C	7F	219	NA	NA	NA	9	NA	NA	NA	74		9	FERT	C	13	7F	Y	3	Y	y	2	Y	0.02	12:05	209	208	0	NA	NA	NA	1 and 2	h8		Dr112	C	7F	Dryas	FERT	13	50	50	50	0	224	Y	50	18.14	NA	13.78	4.36	Y	Andrew		111	3	3		HIGH	C	Alexandra Fiord	D. integrifolia	FERT	13	7F	112	25	0.005	D2	0	0	0	1	1	0.04	1 and 2	h8	7	=14-2.4		1	S	Cassandra	112	D. integrifolia	Alexandra Fiord	FERT	13	C	7F	224	Y	Cassandra			
CASS8C	535	54	C1.E06.C1b5_CASS8C_535_54_R1_val_1_bismark_bt2_pe.bam	52717593	36293100	8097888	8326412	193	5386121	30906979	1089212713	38611794	73005162	21498611	129566638	19754138	806776370	D. integrifolia	Alexandra Fiord	CASS	8	C	535	224	Longterm	Cassandra	CASS_8_C_535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CASS	C	8	535	Longterm	3	Y		4	Y	0.03	10:54	208	208	4	NA	NA	NA	1 and 2	b5		Dr054	C	535	Dryas	CASS	8	50	50	48	0	224	Y	50	15	NA	11.79	3.21	Y	Andrew		28	3	2		LOW	C	Alexandra Fiord	D. integrifolia	CASS	8	535	54	25	0.008	C2	0	6	10	10	10	0.4	1 and 2	b5	4	=14.9-2.4	2- hairy	2	S	Cassandra	54	D. integrifolia	Alexandra Fiord	CASS	8	C	535	224	Longterm	Cassandra			
CASS8C	535	54	C1.E06.C1b5_CASS8C_535_54_R1_val_1_bismark_bt2_pe.bam	52717593	36293100	8097888	8326412	193	5386121	30906979	1089212713	38611794	73005162	21498611	129566638	19754138	806776370	D. integrifolia	Alexandra Fiord	CASS	8	C	535	224	Longterm	Cassandra	CASS_8_C_535	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CASS	C	8	535	Longterm	3	Y		4	Y	0.03	10:54	208	208	4	NA	NA	NA	1 and 2	b5		Dr054	C	535	Dryas	CASS	8	50	50	48	0	224	Y	50	15	NA	11.79	3.21	Y	Andrew		28	3	2		HIGH	C	Alexandra Fiord	D. integrifolia	CASS	8	535	54	25	0.008	C2	0	1	5	6	6	0.24	1 and 2	b5	4	=14.9-2.4	2- hairy	2	S	Cassandra	54	D. integrifolia	Alexandra Fiord	CASS	8	C	535	224	Longterm	Cassandra			
DRY9C	53	149	C1.E09.C1g11_DRY9C_53_149_R1_val_1_bismark_bt2_pe.bam	51107885	36116139	7374319	7617236	191	5122091	30994048	1067909622	36231391	74919305	20576701	127822298	19740838	788619089	D. integrifolia	Alexandra Fiord	DRY	9	C	53	224	Y	Cassandra	DRY_9_C_53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DRY	C	9	53	Longterm	2	?		3		0.01	11:46	209	208	2	NA	NA	NA	1 and 2	g11		Dr149	C	53	Dryas	DRY	9	50	51	50	0	Aug 12 2018	Y	50	15.85	NA	10.18	5.67	Y	Zoe		101	2	2		LOW	C	Alexandra Fiord	D. integrifolia	DRY	9	53	149	NA	NA		0	0	0	0	0	NA	1 and 2	g11	7	10.8		1	S	Andrew	149	D. integrifolia	Alexandra Fiord	DRY	9	C	53	224	Longterm	Cassandra			
DRY9C	53	149	C1.E09.C1g11_DRY9C_53_149_R1_val_1_bismark_bt2_pe.bam	51107885	36116139	7374319	7617236	191	5122091	30994048	1067909622	36231391	74919305	20576701	127822298	19740838	788619089	D. integrifolia	Alexandra Fiord	DRY	9	C	53	224	Y	Cassandra	DRY_9_C_53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DRY	C	9	53	Longterm	2	?		3		0.01	11:46	209	208	2	NA	NA	NA	1 and 2	g11		Dr149	C	53	Dryas	DRY	9	50	51	50	0	Aug 12 2018	Y	50	15.85	NA	10.18	5.67	Y	Zoe		101	2	2		HIGH	C	Alexandra Fiord	D. integrifolia	DRY	9	53	149	NA	NA		0	0	0	0	0	NA	1 and 2	g11	7	10.8		1	S	Andrew	149	D. integrifolia	Alexandra Fiord	DRY	9	C	53	224	Longterm	Cassandra			
